COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
13501,1,AC,3,2, Me gusta la u es paja bro y soy pito,,Delegado,6.0,,3
10867,3,AC,34,1, La pencion,,,6.0,,3
12765,1,AC,5,1, Calidad educativa,,Delegado,5.0,,3
6020,3,AC,5,2, La enseÐanza y buena metodologÕa,,,7.0,,4
8182,1,AC,25,4, Tiene tecnologÕa de qltq calidad y tiene una muy buena metodologÕa de aprendizaje,,,5.0,,4
26698,1,FC,109,7," No es posible que para tener que matricularme tenga que pedir que me abran cursos, ya que los cursos que abrieron se cruzaban entre si. En este modulo, estoy faltando al trabajo los dias sabados por motivo de no brindar la facilidades de otro horario. Se supone que EPE, es para gente que trabaja, sin embargo no dan facilidades de horario.",,Delegado,4.0,,2
17882,2,AC,25,1, Por el excelente servicio acad_mico. Tambi_n por la buena atencion.,,,2.0,,4
22691,3,AC,26,2, Quizas en exigencia y en la publicacion de un horario virtual donde se muestren las evaluaciones a llevarse a cabo.,,,5.0,,2
28191,4,FC,105,3, mejorar it,,,4.0,,3
33316,2,FC,105,7," Primero, cambiar el horario de estudios cuando en el momento de elegirlos en el 2012 no fue eso lo que se ofreciÑ. Segundo, mejorar la plana docente con profesores que est_n mejir preparados y exigentes. Tercero, el servicio de atenciÑn al alumno es p_simo. En lugar de orientar, te desorienta. Me siento insatisfecha con el servicio que recibo por parte de la universidad.",,,3.0,,1
17602,4,AC,21,2, AÏn les falta brindar mas servicios a los alumnos,,Delegado,5.0,,3
31859,2,FC,107,8," las clases de ingles sean presenciales , que la informaciÑn del blackboard sea mas concisa y que se regrese el horario de 7 a 10",,,4.0,,3
8773,1,AC,34,4, Demasiadas personas dentro del campus han quitado el sentido de enfoque particular que solÕan tener. Los procesos son muy desordenados. Muchas limitaciones para reserva de espacios de trabajo dentro de la EDM. Incremento de la pensiÑn y MUY POCO espacio para estacionar en comparaciÑn a la cantidad de alumnos que ahora permiten ingresar.,,Delegado,6.0,,1
6307,1,AC,37,2, Que esta acreditada y hay mucha exigencia,,,7.0,,4
